Descr.breve:;;17;
Descr.lunga:;;Mattarello - Piazza Dante - Lavis;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FESTIVO;
Frequenza:;;
Linea:;;
Servizio:;;
gtfs trip_id;;0004013262023091120240611;0004009582023091120240611;0004009512023091120240611;0004009592023091120240611;0004009522023091120240611;0004009602023091120240611;0004009532023091120240611;0004009612023091120240611;0004009542023091120240611;0004009622023091120240611;0004009552023091120240611;0004009632023091120240611;0004009562023091120240611;0004009642023091120240611;0004009572023091120240611;0004009652023091120240611;0004013252023091120240611;
*Stella Marighetto;97;06:31;07:31;08:31;09:31;10:31;11:31;12:31;13:31;14:31;15:31;16:31;17:31;18:31;19:31;20:31;21:31;22:31;
Madonna Bianca "S.Gaetano";96;06:32;07:32;08:32;09:32;10:32;11:32;12:32;13:32;14:32;15:32;16:32;17:32;18:32;19:32;20:32;21:32;22:32;
*Verona Menguzzato;460;06:33;07:33;08:33;09:33;10:33;11:33;12:33;13:33;14:33;15:33;16:33;17:33;18:33;19:33;20:33;21:33;22:33;
Verona "Big Center";2538;06:33;07:33;08:33;09:33;10:33;11:33;12:33;13:33;14:33;15:33;16:33;17:33;18:33;19:33;20:33;21:33;22:33;
Verona "Questura";464;06:34;07:34;08:34;09:34;10:34;11:34;12:34;13:34;14:34;15:34;16:34;17:34;18:34;19:34;20:34;21:34;22:34;
Verona "S.Bartolameo";218;06:35;07:35;08:35;09:35;10:35;11:35;12:35;13:35;14:35;15:35;16:35;17:35;18:35;19:35;20:35;21:35;22:35;
Verona Einaudi;463;06:35;07:35;08:35;09:35;10:35;11:35;12:35;13:35;14:35;15:35;16:35;17:35;18:35;19:35;20:35;21:35;22:35;
Verona Fogazzaro;458;06:36;07:36;08:36;09:36;10:36;11:36;12:36;13:36;14:36;15:36;16:36;17:36;18:36;19:36;20:36;21:36;22:36;
3 Nov. "Ponte Cavalleggeri";466;06:38;07:38;08:38;09:38;10:38;11:38;12:38;13:38;14:38;15:38;16:38;17:38;18:38;19:38;20:38;21:38;22:38;
3 Nov. "Centro S.Chiara";409;06:40;07:40;08:40;09:40;10:40;11:40;12:40;13:40;14:40;15:40;16:40;17:40;18:40;19:40;20:40;21:40;22:40;
Piazza di Fiera;165;06:41;07:41;08:41;09:41;10:41;11:41;12:41;13:41;14:41;15:41;16:41;17:41;18:41;19:41;20:41;21:41;22:41;
S.Francesco Porta Nuova;166;06:43;07:43;08:43;09:43;10:43;11:43;12:43;13:43;14:43;15:43;16:43;17:43;18:43;19:43;20:43;21:43;22:43;
Sanzio "Castello";276;06:46;07:46;08:46;09:46;10:46;11:46;12:46;13:46;14:46;15:46;16:46;17:46;18:46;19:46;20:46;21:46;22:46;
Romagnosi Vannetti;403;06:48;07:48;08:48;09:48;10:48;11:48;12:48;13:48;14:48;15:48;16:48;17:48;18:48;19:48;20:48;21:48;22:48;
Centa Brennero;2961;06:49;07:49;08:49;09:49;10:49;11:49;12:49;13:49;14:49;15:49;16:49;17:49;18:49;19:49;20:49;21:49;22:49;
Brennero Malvasia;294;06:50;07:50;08:50;09:50;10:50;11:50;12:50;13:50;14:50;15:50;16:50;17:50;18:50;19:50;20:50;21:50;22:50;
Brennero "Ex Scalo Filzi";297;06:51;07:51;08:51;09:51;10:51;11:51;12:51;13:51;14:51;15:51;16:51;17:51;18:51;19:51;20:51;21:51;22:51;
Brennero Marconi;293;06:53;07:53;08:53;09:53;10:53;11:53;12:53;13:53;14:53;15:53;16:53;17:53;18:53;19:53;20:53;21:53;22:53;
Brennero "Tridente";300;06:55;07:55;08:55;09:55;10:55;11:55;12:55;13:55;14:55;15:55;16:55;17:55;18:55;19:55;20:55;21:55;22:55;
Brennero "Bren Center";292;06:56;07:56;08:56;09:56;10:56;11:56;12:56;13:56;14:56;15:56;16:56;17:56;18:56;19:56;20:56;21:56;22:56;
Ss 12 Canova;290;06:57;07:57;08:57;09:57;10:57;11:57;12:57;13:57;14:57;15:57;16:57;17:57;18:57;19:57;20:57;21:57;22:57;
Ss 12 Talvera;2438;06:58;07:58;08:58;09:58;10:58;11:58;12:58;13:58;14:58;15:58;16:58;17:58;18:58;19:58;20:58;21:58;22:58;
Ss 12 "Pioppeto";2418;06:59;07:59;08:59;09:59;10:59;11:59;12:59;13:59;14:59;15:59;16:59;17:59;18:59;19:59;20:59;21:59;22:59;
Ss 12 S.Anna;2419;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;
Ss 12 "Zona Ind.Le Ftm";72;07:02;08:02;09:02;10:02;11:02;12:02;13:02;14:02;15:02;16:02;17:02;18:02;19:02;20:02;21:02;22:02;23:02;
Lamar "Via Rossa";2472;07:03;08:03;09:03;10:03;11:03;12:03;13:03;14:03;15:03;16:03;17:03;18:03;19:03;20:03;21:03;22:03;23:03;
Lamar "Ftm";73;07:04;08:04;09:04;10:04;11:04;12:04;13:04;14:04;15:04;16:04;17:04;18:04;19:04;20:04;21:04;22:04;23:04;
Lamar "Sottostazione Enel";75;07:05;08:05;09:05;10:05;11:05;12:05;13:05;14:05;15:05;16:05;17:05;18:05;19:05;20:05;21:05;22:05;23:05;
Lamar Ponte Avisio;4;07:06;08:06;09:06;10:06;11:06;12:06;13:06;14:06;15:06;16:06;17:06;18:06;19:06;20:06;21:06;22:06;23:06;
Lavis Nazionale;77;07:08;08:08;09:08;10:08;11:08;12:08;13:08;14:08;15:08;16:08;17:08;18:08;19:08;20:08;21:08;22:08;23:08;
;;;;;;;;;;;;;;;;;;
